cleaned_comment,slang_replaced_comment,tekonized_comment,no_stopwords_comment,stemmed_comment
kpn persis tgk syaratnya,kpn persis lihat syaratnya,"['kpn', 'persis', 'lihat', 'syaratnya']","['kpn', 'persis', 'lihat', 'syaratnya']","['kpn', 'persis', 'lihat', 'syarat']"
terimakasih infonya,terimakasih infonya,"['terimakasih', 'infonya']","['terimakasih', 'infonya']","['terimakasih', 'info']"
dulu jamanya bu sri saya slalu megangin dada kalo liat beliau mulai muncul di tv kayada apa nih apalagi nih tapi buat pak purbaya kali ini saya mau bilangkami tungu informasi selanjutnya ya pak ,dulu jamanya ibu sri aku selalu megangin dada kalau lihat beliau mulai muncul di tv kayada apa ini apalagi ini tapi buat bapak purbaya kali ini aku mau bilangkami tungu informasi selanjutnya ya bapak,"['dulu', 'jamanya', 'ibu', 'sri', 'aku', 'selalu', 'megangin', 'dada', 'kalau', 'lihat', 'beliau', 'mulai', 'muncul', 'di', 'tv', 'kayada', 'apa', 'ini', 'apalagi', 'ini', 'tapi', 'buat', 'bapak', 'purbaya', 'kali', 'ini', 'aku', 'mau', 'bilangkami', 'tungu', 'informasi', 'selanjutnya', 'ya', 'bapak']","['dulu', 'jamanya', 'ibu', 'sri', 'aku', 'selalu', 'megangin', 'dada', 'kalau', 'lihat', 'beliau', 'mulai', 'muncul', 'tv', 'kayada', 'apa', 'buat', 'bapak', 'purbaya', 'kali', 'aku', 'mau', 'bilangkami', 'tungu', 'informasi', 'selanjutnya', 'bapak']","['dulu', 'jamanya', 'ibu', 'sri', 'aku', 'selalu', 'megangin', 'dada', 'kalau', 'lihat', 'beliau', 'mulai', 'muncul', 'tv', 'kayada', 'apa', 'buat', 'bapak', 'purbaya', 'kali', 'aku', 'mau', 'bilangkami', 'tungu', 'informasi', 'lanjut', 'bapak']"
ini adalah strategi pak purbaya untuk semua terbuka dan transparan sehinga masing masing pimpinan keluar dan mengecek keuangan kembali dan akhirnya ketahuan siapa yg salah melaporkan ingat tugas keuangan adalah mengetahui keuangan di sektor masing masing dan dengan cara ini lah pak pur tau semua nya keren,ini adalah strategi bapak purbaya untuk semua terbuka dan transparan sehinga masing masing pimpinan keluar dan mengecek keuangan kembali dan akhirnya ketahuan siapa yang salah melaporkan ingat tugas keuangan adalah mengetahui keuangan di sektor masing masing dan dengan cara ini lah bapak pur tau semua nya keren,"['ini', 'adalah', 'strategi', 'bapak', 'purbaya', 'untuk', 'semua', 'terbuka', 'dan', 'transparan', 'sehinga', 'masing', 'masing', 'pimpinan', 'keluar', 'dan', 'mengecek', 'keuangan', 'kembali', 'dan', 'akhirnya', 'ketahuan', 'siapa', 'yang', 'salah', 'melaporkan', 'ingat', 'tugas', 'keuangan', 'adalah', 'mengetahui', 'keuangan', 'di', 'sektor', 'masing', 'masing', 'dan', 'dengan', 'cara', 'ini', 'lah', 'bapak', 'pur', 'tau', 'semua', 'nya', 'keren']","['strategi', 'bapak', 'purbaya', 'semua', 'terbuka', 'transparan', 'sehinga', 'masing', 'masing', 'pimpinan', 'keluar', 'mengecek', 'keuangan', 'akhirnya', 'ketahuan', 'siapa', 'salah', 'melaporkan', 'ingat', 'tugas', 'keuangan', 'mengetahui', 'keuangan', 'sektor', 'masing', 'masing', 'cara', 'lah', 'bapak', 'pur', 'tau', 'semua', 'nya', 'keren']","['strategi', 'bapak', 'purbaya', 'semua', 'buka', 'transparan', 'sehinga', 'masing', 'masing', 'pimpin', 'keluar', 'ecek', 'uang', 'akhir', 'tahu', 'siapa', 'salah', 'lapor', 'ingat', 'tugas', 'uang', 'tahu', 'uang', 'sektor', 'masing', 'masing', 'cara', 'lah', 'bapak', 'pur', 'tau', 'semua', 'nya', 'keren']"
bi mulai dulu bos rentenir indonesia,bi mulai dulu bos rentenir indonesia,"['bi', 'mulai', 'dulu', 'bos', 'rentenir', 'indonesia']","['bi', 'mulai', 'dulu', 'bos', 'rentenir', 'indonesia']","['bi', 'mulai', 'dulu', 'bos', 'rentenir', 'indonesia']"
gebrak pak pur,gebrak bapak pur,"['gebrak', 'bapak', 'pur']","['gebrak', 'bapak', 'pur']","['gebrak', 'bapak', 'pur']"
pamtesan kmrin kdm cek langsng ke bi ,pamtesan kmrin kdm cek langsng ke bi,"['pamtesan', 'kmrin', 'kdm', 'cek', 'langsng', 'ke', 'bi']","['pamtesan', 'kmrin', 'kdm', 'cek', 'langsng', 'bi']","['pamtesan', 'kmrin', 'kdm', 'cek', 'langsng', 'bi']"
lha terus ini arahnya kemana coba jelaskan,lha terus ini arahnya kemana coba jelaskan,"['lha', 'terus', 'ini', 'arahnya', 'kemana', 'coba', 'jelaskan']","['lha', 'terus', 'arahnya', 'coba', 'jelaskan']","['lha', 'terus', 'arah', 'coba', 'jelas']"
maklum masih newbie bro ini klo gak pake influencer untuk kuasai medsos udah abis ini orang dari awal,maklum masih newbie bro ini kalau tidak pakai influencer untuk kuasai medsos sudah habis ini orang dari awal,"['maklum', 'masih', 'newbie', 'bro', 'ini', 'kalau', 'tidak', 'pakai', 'influencer', 'untuk', 'kuasai', 'medsos', 'sudah', 'habis', 'ini', 'orang', 'dari', 'awal']","['maklum', 'newbie', 'bro', 'kalau', 'tidak', 'pakai', 'influencer', 'kuasai', 'medsos', 'habis', 'orang', 'awal']","['maklum', 'newbie', 'bro', 'kalau', 'tidak', 'pakai', 'influencer', 'kuasa', 'medsos', 'habis', 'orang', 'awal']"
kok bisa bi begitu ya bank indonesia lho apa yang ditutupi lagi sih,kok bisa bi begitu ya bank indonesia lho apa yang ditutupi lagi sih,"['kok', 'bisa', 'bi', 'begitu', 'ya', 'bank', 'indonesia', 'lho', 'apa', 'yang', 'ditutupi', 'lagi', 'sih']","['kok', 'bi', 'bank', 'indonesia', 'lho', 'apa', 'ditutupi', 'sih']","['kok', 'bi', 'bank', 'indonesia', 'lho', 'apa', 'tutup', 'sih']"
mantab administrasi negara amburadul gara klu mau jadi pejabat harus bayar,mantab administrasi negara acak gara klu mau jadi pejabat harus bayar,"['mantab', 'administrasi', 'negara', 'acak', 'gara', 'klu', 'mau', 'jadi', 'pejabat', 'harus', 'bayar']","['mantab', 'administrasi', 'negara', 'acak', 'gara', 'klu', 'mau', 'jadi', 'pejabat', 'bayar']","['mantab', 'administrasi', 'negara', 'acak', 'gara', 'klu', 'mau', 'jadi', 'jabat', 'bayar']"
berarti yang menipu orang lapangan nya dongketika ada perbedan antara data di sistem dan data fisiknya lapangan nya perlu diaudit segera untuk menemukan sumber ketidakberesan,berarti yang menipu orang lapangan nya dongketika ada perbedan antara data di sistem dan data fisiknya lapangan nya perlu diaudit segera untuk menemukan sumber ketidakberesan,"['berarti', 'yang', 'menipu', 'orang', 'lapangan', 'nya', 'dongketika', 'ada', 'perbedan', 'antara', 'data', 'di', 'sistem', 'dan', 'data', 'fisiknya', 'lapangan', 'nya', 'perlu', 'diaudit', 'segera', 'untuk', 'menemukan', 'sumber', 'ketidakberesan']","['berarti', 'menipu', 'orang', 'lapangan', 'nya', 'dongketika', 'perbedan', 'data', 'sistem', 'data', 'fisiknya', 'lapangan', 'nya', 'perlu', 'diaudit', 'segera', 'menemukan', 'sumber', 'ketidakberesan']","['arti', 'tipu', 'orang', 'lapang', 'nya', 'dongketika', 'bedan', 'data', 'sistem', 'data', 'fisik', 'lapang', 'nya', 'perlu', 'audit', 'segera', 'temu', 'sumber', 'ketidakberesan']"
kemarin bilang pak demul yg dibohongi bawahan eh yang dibohongi justru dirinya sendiri ,kemarin bilang bapak demul yang dibohongi bawahan eh yang dibohongi justru dirinya sendiri,"['kemarin', 'bilang', 'bapak', 'demul', 'yang', 'dibohongi', 'bawahan', 'eh', 'yang', 'dibohongi', 'justru', 'dirinya', 'sendiri']","['kemarin', 'bilang', 'bapak', 'demul', 'dibohongi', 'bawahan', 'eh', 'dibohongi', 'justru', 'dirinya', 'sendiri']","['kemarin', 'bilang', 'bapak', 'demul', 'bohong', 'bawah', 'eh', 'bohong', 'justru', 'diri', 'sendiri']"
sikat pak,sikat bapak,"['sikat', 'bapak']","['sikat', 'bapak']","['sikat', 'bapak']"
mantap pak purbayalanjut ,mantap bapak purbayalanjut,"['mantap', 'bapak', 'purbayalanjut']","['mantap', 'bapak', 'purbayalanjut']","['mantap', 'bapak', 'purbayalanjut']"
masih diutak atik rupanyasemoga pak pur dalam lindungan alah,masih diutak atik rupanyasemoga bapak pur dalam lindungan alah,"['masih', 'diutak', 'atik', 'rupanyasemoga', 'bapak', 'pur', 'dalam', 'lindungan', 'alah']","['diutak', 'atik', 'rupanyasemoga', 'bapak', 'pur', 'lindungan', 'alah']","['diutak', 'atik', 'rupanyasemoga', 'bapak', 'pur', 'lindung', 'alah']"
si pur diajak ketemu simul gak mau simpelnya demi bangsa mestinya ketemu duduk bareng transparan si pur takut diliput klo ketemu simul si pur ego nya tingi kaga mau ketemu simul jadi siapakah yang dibohongi,si pur diajak ketemu simul tidak mau simpelnya demi bangsa mestinya ketemu duduk bareng transparan si pur takut diliput kalau ketemu simul si pur ego nya tingi tidak mau ketemu simul jadi siapakah yang dibohongi,"['si', 'pur', 'diajak', 'ketemu', 'simul', 'tidak', 'mau', 'simpelnya', 'demi', 'bangsa', 'mestinya', 'ketemu', 'duduk', 'bareng', 'transparan', 'si', 'pur', 'takut', 'diliput', 'kalau', 'ketemu', 'simul', 'si', 'pur', 'ego', 'nya', 'tingi', 'tidak', 'mau', 'ketemu', 'simul', 'jadi', 'siapakah', 'yang', 'dibohongi']","['si', 'pur', 'diajak', 'ketemu', 'simul', 'tidak', 'mau', 'simpelnya', 'bangsa', 'mestinya', 'ketemu', 'duduk', 'bareng', 'transparan', 'si', 'pur', 'takut', 'diliput', 'kalau', 'ketemu', 'simul', 'si', 'pur', 'ego', 'nya', 'tingi', 'tidak', 'mau', 'ketemu', 'simul', 'jadi', 'siapakah', 'dibohongi']","['si', 'pur', 'ajak', 'ketemu', 'simul', 'tidak', 'mau', 'simpel', 'bangsa', 'mesti', 'ketemu', 'duduk', 'bareng', 'transparan', 'si', 'pur', 'takut', 'liput', 'kalau', 'ketemu', 'simul', 'si', 'pur', 'ego', 'nya', 'tingi', 'tidak', 'mau', 'ketemu', 'simul', 'jadi', 'siapa', 'bohong']"
semangat pak purbaya alah melindungimu,semangat bapak purbaya alah melindungimu,"['semangat', 'bapak', 'purbaya', 'alah', 'melindungimu']","['semangat', 'bapak', 'purbaya', 'alah', 'melindungimu']","['semangat', 'bapak', 'purbaya', 'alah', 'lindung']"
semoga bapak dikelilingi orang baik dan jujur spy kinerja bapak juga baik membawa perekonomian indonesia lebih cerah sehat selalu pak,semoga bapak dikelilingi orang baik dan jujur spy kinerja bapak juga baik membawa perekonomian indonesia lebih cerah sehat selalu bapak,"['semoga', 'bapak', 'dikelilingi', 'orang', 'baik', 'dan', 'jujur', 'spy', 'kinerja', 'bapak', 'juga', 'baik', 'membawa', 'perekonomian', 'indonesia', 'lebih', 'cerah', 'sehat', 'selalu', 'bapak']","['semoga', 'bapak', 'dikelilingi', 'orang', 'baik', 'jujur', 'spy', 'kinerja', 'bapak', 'baik', 'membawa', 'perekonomian', 'indonesia', 'lebih', 'cerah', 'sehat', 'selalu', 'bapak']","['moga', 'bapak', 'keliling', 'orang', 'baik', 'jujur', 'spy', 'kerja', 'bapak', 'baik', 'bawa', 'ekonomi', 'indonesia', 'lebih', 'cerah', 'sehat', 'selalu', 'bapak']"
keren siasatnya dan taktiknya pak menteri keuangan salut dah pinjam tangan orang lain untuk membersihkan kementerian nya,keren siasatnya dan taktiknya bapak menteri keuangan salut sudah pinjam tangan orang lain untuk membersihkan kementerian nya,"['keren', 'siasatnya', 'dan', 'taktiknya', 'bapak', 'menteri', 'keuangan', 'salut', 'sudah', 'pinjam', 'tangan', 'orang', 'lain', 'untuk', 'membersihkan', 'kementerian', 'nya']","['keren', 'siasatnya', 'taktiknya', 'bapak', 'menteri', 'keuangan', 'salut', 'pinjam', 'tangan', 'orang', 'membersihkan', 'kementerian', 'nya']","['keren', 'siasat', 'taktik', 'bapak', 'menteri', 'uang', 'salut', 'pinjam', 'tangan', 'orang', 'bersih', 'menteri', 'nya']"
awas negara jangan kalah dg mafia bumn dan birokrasi puluhan tahun,awas negara jangan kalah dengan mafia bumn dan birokrasi puluhan tahun,"['awas', 'negara', 'jangan', 'kalah', 'dengan', 'mafia', 'bumn', 'dan', 'birokrasi', 'puluhan', 'tahun']","['awas', 'negara', 'jangan', 'kalah', 'mafia', 'bumn', 'birokrasi', 'puluhan', 'tahun']","['awas', 'negara', 'jangan', 'kalah', 'mafia', 'bumn', 'birokrasi', 'puluh', 'tahun']"
 ular falag kalau jalan seluas luasnya lautan daratan gunung gunung sudah dilengkapi dengan hadirnya qolbu ratu adil terhadap lingkungan maju ,ular falag kalau jalan seluas luasnya lautan daratan gunung gunung sudah dilengkapi dengan hadirnya qolbu ratu adil terhadap lingkungan maju,"['ular', 'falag', 'kalau', 'jalan', 'seluas', 'luasnya', 'lautan', 'daratan', 'gunung', 'gunung', 'sudah', 'dilengkapi', 'dengan', 'hadirnya', 'qolbu', 'ratu', 'adil', 'terhadap', 'lingkungan', 'maju']","['ular', 'falag', 'kalau', 'jalan', 'seluas', 'luasnya', 'lautan', 'daratan', 'gunung', 'gunung', 'dilengkapi', 'hadirnya', 'qolbu', 'ratu', 'adil', 'lingkungan', 'maju']","['ular', 'falag', 'kalau', 'jalan', 'luas', 'luas', 'laut', 'darat', 'gunung', 'gunung', 'lengkap', 'hadir', 'qolbu', 'ratu', 'adil', 'lingkung', 'maju']"
pecat pak mana bisa sekelas bi salah data yg sifatnya krusial gini,pecat bapak mana bisa sekelas bi salah data yang sifatnya penting gini,"['pecat', 'bapak', 'mana', 'bisa', 'sekelas', 'bi', 'salah', 'data', 'yang', 'sifatnya', 'penting', 'gini']","['pecat', 'bapak', 'mana', 'sekelas', 'bi', 'salah', 'data', 'sifatnya', 'penting', 'gini']","['pecat', 'bapak', 'mana', 'kelas', 'bi', 'salah', 'data', 'sifat', 'penting', 'gin']"
 copot segera pejabat bi nya ganti yg kredibel dan amanah ,copot segera pejabat bi nya ganti yang kredibel dan amanah,"['copot', 'segera', 'pejabat', 'bi', 'nya', 'ganti', 'yang', 'kredibel', 'dan', 'amanah']","['copot', 'segera', 'pejabat', 'bi', 'nya', 'ganti', 'kredibel', 'amanah']","['copot', 'segera', 'jabat', 'bi', 'nya', 'ganti', 'kredibel', 'amanah']"
hayo gebrakan pak purbaya ,ayo gebrakan bapak purbaya,"['ayo', 'gebrakan', 'bapak', 'purbaya']","['ayo', 'gebrakan', 'bapak', 'purbaya']","['ayo', 'gebrak', 'bapak', 'purbaya']"
mungkin perlu perubahan pak purbaya di tubuh bi ganti pimpinan pimpinan lama sudah terlalu pintar sudah banyak konspirasi mengambil dan mengamankan perlu di perbarukan ,mungkin perlu perubahan bapak purbaya di tubuh bi ganti pimpinan pimpinan lama sudah terlalu pintar sudah banyak konspirasi mengambil dan mengamankan perlu di perbarukan,"['mungkin', 'perlu', 'perubahan', 'bapak', 'purbaya', 'di', 'tubuh', 'bi', 'ganti', 'pimpinan', 'pimpinan', 'lama', 'sudah', 'terlalu', 'pintar', 'sudah', 'banyak', 'konspirasi', 'mengambil', 'dan', 'mengamankan', 'perlu', 'di', 'perbarukan']","['mungkin', 'perlu', 'perubahan', 'bapak', 'purbaya', 'tubuh', 'bi', 'ganti', 'pimpinan', 'pimpinan', 'lama', 'terlalu', 'pintar', 'banyak', 'konspirasi', 'mengambil', 'mengamankan', 'perlu', 'perbarukan']","['mungkin', 'perlu', 'ubah', 'bapak', 'purbaya', 'tubuh', 'bi', 'ganti', 'pimpin', 'pimpin', 'lama', 'terlalu', 'pintar', 'banyak', 'konspirasi', 'ambil', 'aman', 'perlu', 'baru']"
yg udh pernah d back ofice perbankankayanya pada senyum udh tau gimana lap bi dibuat hehehe,yang sudah pernah di kembali ofice perbankankayanya pada senyum sudah tau gimana lap bi dibuat hehehe,"['yang', 'sudah', 'pernah', 'di', 'kembali', 'ofice', 'perbankankayanya', 'pada', 'senyum', 'sudah', 'tau', 'gimana', 'lap', 'bi', 'dibuat', 'hehehe']","['pernah', 'ofice', 'perbankankayanya', 'senyum', 'tau', 'gimana', 'lap', 'bi', 'dibuat', 'hehehe']","['pernah', 'ofice', 'perbankankayanya', 'senyum', 'tau', 'gimana', 'lap', 'bi', 'buat', 'hehehe']"
pak purb itu trust but verify,bapak purb itu trust but verify,"['bapak', 'purb', 'itu', 'trust', 'but', 'verify']","['bapak', 'purb', 'trust', 'but', 'verify']","['bapak', 'purb', 'trust', 'but', 'verify']"
setelah ojk sekarang bi bohongi menkeu selama ini sri mulyani sbg menkeu kerjanya apa ,setelah ojk sekarang bi bohongi menkeu selama ini sri mulyani sebagai menkeu kerjanya apa,"['setelah', 'ojk', 'sekarang', 'bi', 'bohongi', 'menkeu', 'selama', 'ini', 'sri', 'mulyani', 'sebagai', 'menkeu', 'kerjanya', 'apa']","['ojk', 'sekarang', 'bi', 'bohongi', 'menkeu', 'selama', 'sri', 'mulyani', 'menkeu', 'kerjanya', 'apa']","['ojk', 'sekarang', 'bi', 'bohong', 'menkeu', 'lama', 'sri', 'mulyani', 'menkeu', 'kerja', 'apa']"
ayo pak purbayada permainan ini orang bi,ayo bapak purbayada permainan ini orang bi,"['ayo', 'bapak', 'purbayada', 'permainan', 'ini', 'orang', 'bi']","['ayo', 'bapak', 'purbayada', 'permainan', 'orang', 'bi']","['ayo', 'bapak', 'purbayada', 'main', 'orang', 'bi']"
sudah mulai byk yg ketar ketir nih ,sudah mulai banyak yang ketar ketir ini,"['sudah', 'mulai', 'banyak', 'yang', 'ketar', 'ketir', 'ini']","['mulai', 'banyak', 'ketar', 'ketir']","['mulai', 'banyak', 'ketar', 'tir']"
maju terus kebenaran pasti menang pak ,maju terus kebenaran pasti menang bapak,"['maju', 'terus', 'kebenaran', 'pasti', 'menang', 'bapak']","['maju', 'terus', 'kebenaran', 'menang', 'bapak']","['maju', 'terus', 'benar', 'menang', 'bapak']"
ada apa dengan bi sedikit sedikit mulai terkuat ada manipulasi data dan banyak yang kebakaran jengot dan benar benar biadab kalau betul uang trilyunan dipake untuk kepentingan diri sendiri dan partai,ada apa dengan bi sedikit sedikit mulai terkuat ada manipulasi data dan banyak yang kebakaran jengot dan benar benar biadab kalau betul uang trilyunan dipake untuk kepentingan diri sendiri dan partai,"['ada', 'apa', 'dengan', 'bi', 'sedikit', 'sedikit', 'mulai', 'terkuat', 'ada', 'manipulasi', 'data', 'dan', 'banyak', 'yang', 'kebakaran', 'jengot', 'dan', 'benar', 'benar', 'biadab', 'kalau', 'betul', 'uang', 'trilyunan', 'dipake', 'untuk', 'kepentingan', 'diri', 'sendiri', 'dan', 'partai']","['apa', 'bi', 'sedikit', 'sedikit', 'mulai', 'terkuat', 'manipulasi', 'data', 'banyak', 'kebakaran', 'jengot', 'benar', 'benar', 'biadab', 'kalau', 'betul', 'uang', 'trilyunan', 'dipake', 'kepentingan', 'diri', 'sendiri', 'partai']","['apa', 'bi', 'sedikit', 'sedikit', 'mulai', 'kuat', 'manipulasi', 'data', 'banyak', 'bakar', 'jengot', 'benar', 'benar', 'biadab', 'kalau', 'betul', 'uang', 'trilyunan', 'dipake', 'penting', 'diri', 'sendiri', 'partai']"
mau tanya itu menkeu yg lama kerjanya ngapain aja ya jualan cilok kali ya ,mau tanya itu menkeu yang lama kerjanya apa saja ya jualan cilok kali ya,"['mau', 'tanya', 'itu', 'menkeu', 'yang', 'lama', 'kerjanya', 'apa', 'saja', 'ya', 'jualan', 'cilok', 'kali', 'ya']","['mau', 'tanya', 'menkeu', 'lama', 'kerjanya', 'apa', 'jualan', 'cilok', 'kali']","['mau', 'tanya', 'menkeu', 'lama', 'kerja', 'apa', 'jual', 'cilok', 'kali']"
mulai transparan ngak tuh ,mulai transparan tidak itu,"['mulai', 'transparan', 'tidak', 'itu']","['mulai', 'transparan', 'tidak']","['mulai', 'transparan', 'tidak']"
waduh kacau dikira masih ada cadangan rupanya kosong bi harus diaudit,aduh kacau dikira masih ada cadangan rupanya kosong bi harus diaudit,"['aduh', 'kacau', 'dikira', 'masih', 'ada', 'cadangan', 'rupanya', 'kosong', 'bi', 'harus', 'diaudit']","['aduh', 'kacau', 'dikira', 'cadangan', 'rupanya', 'kosong', 'bi', 'diaudit']","['aduh', 'kacau', 'kira', 'cadang', 'rupa', 'kosong', 'bi', 'audit']"
sikat pajangan mau dibohongi,sikat pajangan mau dibohongi,"['sikat', 'pajangan', 'mau', 'dibohongi']","['sikat', 'pajangan', 'mau', 'dibohongi']","['sikat', 'pajang', 'mau', 'bohong']"
keknya mereka deh yg dikerjai sama pa purbaya suapay mereka buka buka an baru kali ini loh apbd buka bukan menteri kemarin mah yg penting pajak pajak,keknya mereka deh yang dikerjai sama bapak purbaya suapay mereka buka buka an baru kali ini loh apbd buka bukan menteri kemarin mah yang penting pajak pajak,"['keknya', 'mereka', 'deh', 'yang', 'dikerjai', 'sama', 'bapak', 'purbaya', 'suapay', 'mereka', 'buka', 'buka', 'an', 'baru', 'kali', 'ini', 'loh', 'apbd', 'buka', 'bukan', 'menteri', 'kemarin', 'mah', 'yang', 'penting', 'pajak', 'pajak']","['keknya', 'deh', 'dikerjai', 'sama', 'bapak', 'purbaya', 'suapay', 'buka', 'buka', 'an', 'baru', 'kali', 'loh', 'apbd', 'buka', 'bukan', 'menteri', 'kemarin', 'mah', 'penting', 'pajak', 'pajak']","['kek', 'deh', 'kerja', 'sama', 'bapak', 'purbaya', 'suapay', 'buka', 'buka', 'an', 'baru', 'kali', 'loh', 'apbd', 'buka', 'bukan', 'menteri', 'kemarin', 'mah', 'penting', 'pajak', 'pajak']"
sehat slu pak purbaya ,sehat slu bapak purbaya,"['sehat', 'slu', 'bapak', 'purbaya']","['sehat', 'slu', 'bapak', 'purbaya']","['sehat', 'slu', 'bapak', 'purbaya']"
hasil pilihan dpr,hasil pilihan dpr,"['hasil', 'pilihan', 'dpr']","['hasil', 'pilihan', 'dpr']","['hasil', 'pilih', 'dpr']"
jgn mau di bohongi pak,jangan mau di bohongi bapak,"['jangan', 'mau', 'di', 'bohongi', 'bapak']","['jangan', 'mau', 'bohongi', 'bapak']","['jangan', 'mau', 'bohong', 'bapak']"
percayalah dia tidak sebodoh itu hanya tes ombak dan kasih umpan untuk memancing biar mereka pada keluar,percayalah dia tidak sebodoh itu hanya tes ombak dan kasih umpan untuk memancing biar mereka pada keluar,"['percayalah', 'dia', 'tidak', 'sebodoh', 'itu', 'hanya', 'tes', 'ombak', 'dan', 'kasih', 'umpan', 'untuk', 'memancing', 'biar', 'mereka', 'pada', 'keluar']","['percayalah', 'tidak', 'sebodoh', 'tes', 'ombak', 'kasih', 'umpan', 'memancing', 'biar', 'keluar']","['percaya', 'tidak', 'bodoh', 'tes', 'ombak', 'kasih', 'umpan', 'pancing', 'biar', 'keluar']"
yg g jujur daerah apa bi nya ,yang tidak jujur daerah apa bi nya,"['yang', 'tidak', 'jujur', 'daerah', 'apa', 'bi', 'nya']","['tidak', 'jujur', 'daerah', 'apa', 'bi', 'nya']","['tidak', 'jujur', 'daerah', 'apa', 'bi', 'nya']"
terus sinkronisasi pakjng kasih kendor,terus sinkronisasi pakjng kasih kendor,"['terus', 'sinkronisasi', 'pakjng', 'kasih', 'kendor']","['terus', 'sinkronisasi', 'pakjng', 'kasih', 'kendor']","['terus', 'sinkronisasi', 'pakjng', 'kasih', 'kendor']"
saya g akan mudah terpesona ama pejabat sebelum saya lihat ending nya gimana,aku tidak akan mudah terpesona sama pejabat sebelum aku lihat ending nya gimana,"['aku', 'tidak', 'akan', 'mudah', 'terpesona', 'sama', 'pejabat', 'sebelum', 'aku', 'lihat', 'ending', 'nya', 'gimana']","['aku', 'tidak', 'mudah', 'terpesona', 'sama', 'pejabat', 'aku', 'lihat', 'ending', 'nya', 'gimana']","['aku', 'tidak', 'mudah', 'pesona', 'sama', 'jabat', 'aku', 'lihat', 'ending', 'nya', 'gimana']"
jd yg dikibulin bawahanya siapa sihbingung gw,jd yang dikibulin bawahanya siapa sihbingung aku,"['jd', 'yang', 'dikibulin', 'bawahanya', 'siapa', 'sihbingung', 'aku']","['jd', 'dikibulin', 'bawahanya', 'siapa', 'sihbingung', 'aku']","['jd', 'dikibulin', 'bawahanya', 'siapa', 'sihbingung', 'aku']"
nah kan gw rasa sih kdm memang bener ya bukan blunder tapi menjelaskan yg sebenarnya gitu,nah kan aku rasa sih kdm memang benar ya bukan blunder tapi menjelaskan yang sebenarnya gitu,"['nah', 'kan', 'aku', 'rasa', 'sih', 'kdm', 'memang', 'benar', 'ya', 'bukan', 'blunder', 'tapi', 'menjelaskan', 'yang', 'sebenarnya', 'gitu']","['nah', 'kan', 'aku', 'rasa', 'sih', 'kdm', 'memang', 'benar', 'bukan', 'blunder', 'menjelaskan', 'sebenarnya', 'gitu']","['nah', 'kan', 'aku', 'rasa', 'sih', 'kdm', 'memang', 'benar', 'bukan', 'blunder', 'jelas', 'benar', 'gitu']"
nah khan para pejabat sibuk gara nih orang sehat selalu pak pur ,nah khan para pejabat sibuk gara ini orang sehat selalu bapak pur,"['nah', 'khan', 'para', 'pejabat', 'sibuk', 'gara', 'ini', 'orang', 'sehat', 'selalu', 'bapak', 'pur']","['nah', 'khan', 'pejabat', 'sibuk', 'gara', 'orang', 'sehat', 'selalu', 'bapak', 'pur']","['nah', 'khan', 'jabat', 'sibuk', 'gara', 'orang', 'sehat', 'selalu', 'bapak', 'pur']"
semangat pak purbaya,semangat bapak purbaya,"['semangat', 'bapak', 'purbaya']","['semangat', 'bapak', 'purbaya']","['semangat', 'bapak', 'purbaya']"
sikat pak,sikat bapak,"['sikat', 'bapak']","['sikat', 'bapak']","['sikat', 'bapak']"
ternyata sri mulyani itu jadinrnteri oraey juga ya absakhirnya ketahuan juga ,ternyata sri mulyani itu jadinrnteri oraey juga ya absakhirnya ketahuan juga,"['ternyata', 'sri', 'mulyani', 'itu', 'jadinrnteri', 'oraey', 'juga', 'ya', 'absakhirnya', 'ketahuan', 'juga']","['ternyata', 'sri', 'mulyani', 'jadinrnteri', 'oraey', 'absakhirnya', 'ketahuan']","['nyata', 'sri', 'mulyani', 'jadinrnteri', 'oraey', 'absakhirnya', 'tahu']"
selisihnya puluhan triliun ada dimana ,selisihnya puluhan triliun ada dimana,"['selisihnya', 'puluhan', 'triliun', 'ada', 'dimana']","['selisihnya', 'puluhan', 'triliun']","['selisih', 'puluh', 'triliun']"
semoga bpk di back up org kuat,semoga bapak di kembali atas orang kuat,"['semoga', 'bapak', 'di', 'kembali', 'atas', 'orang', 'kuat']","['semoga', 'bapak', 'atas', 'orang', 'kuat']","['moga', 'bapak', 'atas', 'orang', 'kuat']"
makin terbuka tabirnye pak pur memang top deh ,makin terbuka tabirnye bapak pur memang top deh,"['makin', 'terbuka', 'tabirnye', 'bapak', 'pur', 'memang', 'top', 'deh']","['makin', 'terbuka', 'tabirnye', 'bapak', 'pur', 'memang', 'top', 'deh']","['makin', 'buka', 'tabirnye', 'bapak', 'pur', 'memang', 'top', 'deh']"
 pak purbaya,bapak purbaya,"['bapak', 'purbaya']","['bapak', 'purbaya']","['bapak', 'purbaya']"
