cleaned_comment,slang_replaced_comment,tekonized_comment,no_stopwords_comment,stemmed_comment
baru aja dpt secercah harapan di negeri ini udah mau di padamin lagi rip konoha ,baru saja dapat secercah harapan di negeri ini sudah mau di padamin lagi rip konoha,"['baru', 'saja', 'dapat', 'secercah', 'harapan', 'di', 'negeri', 'ini', 'sudah', 'mau', 'di', 'padamin', 'lagi', 'rip', 'konoha']","['baru', 'secercah', 'harapan', 'negeri', 'mau', 'padamin', 'rip', 'konoha']","['baru', 'cercah', 'harap', 'negeri', 'mau', 'padamin', 'rip', 'konoha']"
pak purbaya ,bapak purbaya,"['bapak', 'purbaya']","['bapak', 'purbaya']","['bapak', 'purbaya']"
tandain org org yg ada di proyek whosh,tandain orang orang yang ada di proyek whosh,"['tandain', 'orang', 'orang', 'yang', 'ada', 'di', 'proyek', 'whosh']","['tandain', 'orang', 'orang', 'proyek', 'whosh']","['tandain', 'orang', 'orang', 'proyek', 'whosh']"
kalo sampe bener makin murka rakyat,kalau sampai benar makin murka rakyat,"['kalau', 'sampai', 'benar', 'makin', 'murka', 'rakyat']","['kalau', 'benar', 'makin', 'murka', 'rakyat']","['kalau', 'benar', 'makin', 'murka', 'rakyat']"
keren euy paksemangat,keren euy paksemangat,"['keren', 'euy', 'paksemangat']","['keren', 'euy', 'paksemangat']","['keren', 'euy', 'paksemangat']"
inalilahinegeri sarang penyamun,inalilahinegeri sarang penyamun,"['inalilahinegeri', 'sarang', 'penyamun']","['inalilahinegeri', 'sarang', 'penyamun']","['inalilahinegeri', 'sarang', 'samun']"
semoga sehat walafiah bapak sekeluarga dan selalu dalam lindungan alah alohuma soliala sayidina muhamad wa ala ali sayidina muhamad ,semoga sehat walafiah bapak sekeluarga dan selalu dalam lindungan alah alohuma soliala sayidina muhamad whatsapp ala ali sayidina muhamad,"['semoga', 'sehat', 'walafiah', 'bapak', 'sekeluarga', 'dan', 'selalu', 'dalam', 'lindungan', 'alah', 'alohuma', 'soliala', 'sayidina', 'muhamad', 'whatsapp', 'ala', 'ali', 'sayidina', 'muhamad']","['semoga', 'sehat', 'walafiah', 'bapak', 'sekeluarga', 'selalu', 'lindungan', 'alah', 'alohuma', 'soliala', 'sayidina', 'muhamad', 'whatsapp', 'ala', 'ali', 'sayidina', 'muhamad']","['moga', 'sehat', 'walafiah', 'bapak', 'keluarga', 'selalu', 'lindung', 'alah', 'alohuma', 'soliala', 'sayidina', 'muhamad', 'whatsapp', 'ala', 'ali', 'sayidina', 'muhamad']"
rakyat yg bakal turun ke jalan kalo sampe pak purbaya di reshufle enak aja tuh si luhut udah malingin duit rakyat malah purbaya yg di pecat,rakyat yang akan turun ke jalan kalau sampai bapak purbaya di reshufle enak saja itu si luhut sudah malingin uang rakyat malah purbaya yang di pecat,"['rakyat', 'yang', 'akan', 'turun', 'ke', 'jalan', 'kalau', 'sampai', 'bapak', 'purbaya', 'di', 'reshufle', 'enak', 'saja', 'itu', 'si', 'luhut', 'sudah', 'malingin', 'uang', 'rakyat', 'malah', 'purbaya', 'yang', 'di', 'pecat']","['rakyat', 'turun', 'jalan', 'kalau', 'bapak', 'purbaya', 'reshufle', 'enak', 'si', 'luhut', 'malingin', 'uang', 'rakyat', 'malah', 'purbaya', 'pecat']","['rakyat', 'turun', 'jalan', 'kalau', 'bapak', 'purbaya', 'reshufle', 'enak', 'si', 'luhut', 'malingin', 'uang', 'rakyat', 'malah', 'purbaya', 'pecat']"
pejabat dzolim nugarelo sing geura modyar,pejabat dzolim nugarelo sing geura modyar,"['pejabat', 'dzolim', 'nugarelo', 'sing', 'geura', 'modyar']","['pejabat', 'dzolim', 'nugarelo', 'sing', 'geura', 'modyar']","['jabat', 'dzolim', 'nugarelo', 'sing', 'geura', 'modyar']"
knapa orang jujur mau d resapel apa salah nya,knapa orang jujur mau di resapel apa salah nya,"['knapa', 'orang', 'jujur', 'mau', 'di', 'resapel', 'apa', 'salah', 'nya']","['knapa', 'orang', 'jujur', 'mau', 'resapel', 'apa', 'salah', 'nya']","['knapa', 'orang', 'jujur', 'mau', 'resapel', 'apa', 'salah', 'nya']"
